ID,Name,Type,Description,Variable Tracked,Unit Amount,Level,Reward Currency,Reward Start Value
50,Cars_Hit_Accumulation,Accumulation,loc_challenge_vehicles_accum,Car Hit,5,3,Coins,1000
51,Cars_Hit_Accumulation,Accumulation,loc_challenge_vehicles_accum,Car Hit,8,5,Coins,1000
52,Cars_Hit_Accumulation,Accumulation,loc_challenge_vehicles_accum,Car Hit,10,6,Coins,1000
53,Cars_Hit_Accumulation,Accumulation,loc_challenge_vehicles_accum,Car Hit,15,7,Coins,1000
54,Cars_Hit_Accumulation,Accumulation,loc_challenge_vehicles_accum,Car Hit,20,8,Coins,1000
55,Cars_Hit_Accumulation,Accumulation,loc_challenge_vehicles_accum,Car Hit,25,9,Coins,1000
56,Cars_Hit_Accumulation,Accumulation,loc_challenge_vehicles_accum,Car Hit,30,10,Coins,1000
57,Landmarks_Hit_Accumulation,Accumulation,loc_challenge_landmark_accum,Landmark Hit,1,0,Coins,1000
58,Landmarks_Hit_Accumulation,Accumulation,loc_challenge_landmark_accum,Landmark Hit,2,3,Coins,1000
59,Landmarks_Hit_Accumulation,Accumulation,loc_challenge_landmark_accum,Landmark Hit,3,5,Coins,1000
60,Landmarks_Hit_Accumulation,Accumulation,loc_challenge_landmark_accum,Landmark Hit,4,10,Coins,1000
61,Landmarks_Hit_Accumulation,Accumulation,loc_challenge_landmark_accum,Landmark Hit,5,15,Coins,1000
62,Strength_Upgraded_Accululation,Accumulation,loc_challenge_upgrade_strength_accum,Strength Upgrade,2,0,Coins,1000
63,Strength_Upgraded_Accululation,Accumulation,loc_challenge_upgrade_strength_accum,Strength Upgrade,3,3,Coins,1000
64,Strength_Upgraded_Accululation,Accumulation,loc_challenge_upgrade_strength_accum,Strength Upgrade,4,5,Coins,1000
65,Strength_Upgraded_Accululation,Accumulation,loc_challenge_upgrade_strength_accum,Strength Upgrade,5,6,Coins,1000
66,Bounce_Upgraded_Accululation,Accumulation,loc_challenge_upgrade_bounce_accum,Bounce Upgrade,2,0,Coins,1000
67,Bounce_Upgraded_Accululation,Accumulation,loc_challenge_upgrade_bounce_accum,Bounce Upgrade,3,3,Coins,1000
68,Bounce_Upgraded_Accululation,Accumulation,loc_challenge_upgrade_bounce_accum,Bounce Upgrade,4,5,Coins,1000
69,Bounce_Upgraded_Accululation,Accumulation,loc_challenge_upgrade_bounce_accum,Bounce Upgrade,5,6,Coins,1000
70,Offline_Upgraded_Accumulation,Accumulation,loc_challenge_upgrade_offline_accum,Offline Upgrade,2,0,Coins,1000
71,Offline_Upgraded_Accumulation,Accumulation,loc_challenge_upgrade_offline_accum,Offline Upgrade,3,3,Coins,1000
72,Offline_Upgraded_Accumulation,Accumulation,loc_challenge_upgrade_offline_accum,Offline Upgrade,4,5,Coins,1000
73,Offline_Upgraded_Accumulation,Accumulation,loc_challenge_upgrade_offline_accum,Offline Upgrade,5,6,Coins,1000
74,Water_Hit_Accumulation,Accumulation,loc_challenge_water_accum,Water Hit,2,0,Coins,1000
75,Water_Hit_Accumulation,Accumulation,loc_challenge_water_accum,Water Hit,3,3,Coins,1000
76,Water_Hit_Accumulation,Accumulation,loc_challenge_water_accum,Water Hit,4,5,Coins,1000
77,Water_Hit_Accumulation,Accumulation,loc_challenge_water_accum,Water Hit,5,6,Coins,1000
78,After_Touch_Bounce_Accumulaton,Accumulation,loc_challenge_aftertouch_bouce_accum,AfterTouch Bounce,5,0,Coins,1000
79,After_Touch_Bounce_Accumulaton,Accumulation,loc_challenge_aftertouch_bouce_accum,AfterTouch Bounce,10,3,Coins,1000
80,After_Touch_Bounce_Accumulaton,Accumulation,loc_challenge_aftertouch_bouce_accum,AfterTouch Bounce,20,5,Coins,1000
81,After_Touch_Bounce_Accumulaton,Accumulation,loc_challenge_aftertouch_bouce_accum,AfterTouch Bounce,30,6,Coins,1000
82,After_Touch_Bounce_Accumulaton,Accumulation,loc_challenge_aftertouch_bouce_accum,AfterTouch Bounce,40,7,Coins,1000
83,After_Touch_Bounce_Accumulaton,Accumulation,loc_challenge_aftertouch_bouce_accum,AfterTouch Bounce,50,8,Coins,1000
84,After_Touch_Bounce_Accumulaton,Accumulation,loc_challenge_aftertouch_bouce_accum,AfterTouch Bounce,60,9,Coins,1000
85,After_Touch_Bounce_Accumulaton,Accumulation,loc_challenge_aftertouch_bouce_accum,AfterTouch Bounce,70,10,Coins,1000
86,After_Touch_Bounce_Accumulaton,Accumulation,loc_challenge_aftertouch_bouce_accum,AfterTouch Bounce,80,11,Coins,1000
87,After_Touch_Bounce_Accumulaton,Accumulation,loc_challenge_aftertouch_bouce_accum,AfterTouch Bounce,90,12,Coins,1000
88,After_Touch_Bounce_Accumulaton,Accumulation,loc_challenge_aftertouch_bouce_accum,AfterTouch Bounce,100,13,Coins,1000
89,Bunkers_Hit_ Accumlations,Accumulation,loc_challenge_sand_accum,Sand Hit,2,0,Coins,1000
90,Bunkers_Hit_ Accumlations,Accumulation,loc_challenge_sand_accum,Sand Hit,3,3,Coins,1000
91,Bunkers_Hit_ Accumlations,Accumulation,loc_challenge_sand_accum,Sand Hit,4,5,Coins,1000
92,Bunkers_Hit_ Accumlations,Accumulation,loc_challenge_sand_accum,Sand Hit,5,6,Coins,1000
